Date,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
,BTC-USD,DOGE-USD,ETH-USD,BTC-USD,DOGE-USD,ETH-USD,BTC-USD,DOGE-USD,ETH-USD,BTC-USD,DOGE-USD,ETH-USD,BTC-USD,DOGE-USD,ETH-USD
2020-01-01,7200.17431640625,0.00203300011344254,130.802001953125,7254.33056640625,0.0020520000252872705,132.83535766601562,7174.9443359375,0.0020210000220686197,129.1982879638672,7194.89208984375,0.0020280000753700733,129.6306610107422,18565664997,51180941,7935230330
2020-01-02,6985.47021484375,0.0020089999306946993,127.4101791381836,7212.1552734375,0.0021100000012665987,130.82003784179688,6935.27001953125,0.0019829999655485153,126.95491027832031,7202.55126953125,0.00203399988822639,130.82003784179688,20802083465,65071106,8032709256
2020-01-03,7344.88427734375,0.002145000034943223,134.1717071533203,7413.71533203125,0.002177000045776367,134.55401611328125,6914.99609375,0.0019910000264644623,126.49002075195312,6984.4287109375,0.002007999923080206,127.41126251220703,28111481032,62619988,10476845358
2020-01-04,7410.65673828125,0.0022410000674426556,135.06936645507812,7427.3857421875,0.0024900001008063555,136.05271911621094,7309.51416015625,0.002050000010058284,133.04055786132812,7345.37548828125,0.0021440000273287296,134.16851806640625,18444271275,94227582,7430904515
2020-01-05,7411.3173828125,0.0024190000258386135,136.2767791748047,7544.4970703125,0.002491000108420849,139.4102020263672,7400.53564453125,0.0021170000545680523,135.04562377929688,7410.45166015625,0.002240000059828162,135.0720977783203,19725074095,52631740,7526675353
2020-01-06,7769.21923828125,0.0024629998952150345,144.3041534423828,7781.8671875,0.002563999965786934,144.32818603515625,7409.29296875,0.0023789999540895224,136.0796356201172,7410.4521484375,0.00241800001822412,136.3055419921875,23276261598,54562409,9093747121
2020-01-07,8163.6923828125,0.002432999899610877,143.5439910888672,8178.2158203125,0.0024969999212771654,145.00177001953125,7768.2275390625,0.0023539999965578318,140.48887634277344,7768.68212890625,0.0024850000627338886,144.31199645996094,28767291327,52767343,9257954672
2020-01-08,8079.86279296875,0.0022929999977350235,141.2581329345703,8396.73828125,0.0024649999104440212,146.8280029296875,7956.7744140625,0.002265000017359853,138.26820373535156,8161.935546875,0.002432999899610877,143.48782348632812,31672559265,77251526,9387194957
2020-01-09,7879.0712890625,0.0022559999488294125,138.9792022705078,8082.2958984375,0.0023139999248087406,141.39398193359375,7842.40380859375,0.002145000034943223,136.2364044189453,8082.2958984375,0.0022909999825060368,141.15577697753906,24045990466,70690571,7697325348
2020-01-10,8166.55419921875,0.0023560000117868185,143.96377563476562,8166.55419921875,0.0023610000498592854,144.16732788085938,7726.77490234375,0.0021989999804645777,135.52040100097656,7878.3076171875,0.002254999941214919,138.967041015625,28714583844,87683356,9084816203
2020-01-11,8037.53759765625,0.0023139999248087406,142.92710876464844,8218.359375,0.002372999908402562,146.4809112548828,8029.64208984375,0.0022960000205785036,142.2079620361328,8162.19091796875,0.0023509999737143517,143.4091033935547,25521165085,94203409,9332208590
2020-01-12,8192.494140625,0.002380999969318509,145.87393188476562,8200.0634765625,0.0024129999801516533,146.14585876464844,8009.05908203125,0.0023129999171942472,142.7076416015625,8033.26171875,0.0023129999171942472,143.0325469970703,22903438381,79426215,8528167453
2020-01-13,8144.1943359375,0.0023580000270158052,144.22659301757812,8197.7880859375,0.002406999934464693,146.79122924804688,8079.70068359375,0.0023270000237971544,142.90713500976562,8189.77197265625,0.002380999969318509,146.2201385498047,22482910688,83849846,8378529470
2020-01-14,8827.7646484375,0.002469999948516488,165.95535278320312,8879.51171875,0.0025140000507235527,167.68154907226562,8140.93310546875,0.0023399998899549246,144.06492614746094,8140.93310546875,0.0023580000270158052,144.2510528564453,44841784107,128635383,16712318373
